camera_id,timestamp,bbox,confidence
CAM_01,2026-06-03 14:55:33,"(906, 139, 1011, 199)",0.8557095527648926
CAM_01,2026-06-03 14:55:33,"(908, 119, 1009, 189)",0.8686953783035278
CAM_01,2026-06-03 14:55:33,"(911, 92, 1009, 177)",0.7831909656524658
CAM_01,2026-06-03 14:55:33,"(912, 125, 1009, 177)",0.6681933403015137
CAM_01,2026-06-03 14:55:33,"(913, 122, 1008, 163)",0.8547978401184082
CAM_01,2026-06-03 14:55:34,"(909, 120, 999, 161)",0.7830564379692078
CAM_01,2026-06-03 14:55:34,"(901, 119, 993, 159)",0.5788544416427612
CAM_01,2026-06-03 14:55:34,"(898, 115, 990, 154)",0.6812692880630493
CAM_01,2026-06-03 14:55:40,"(800, 59, 848, 95)",0.5562629103660583
CAM_01,2026-06-03 14:55:43,"(557, 241, 808, 334)",0.5040286183357239
CAM_01,2026-06-03 14:55:43,"(554, 258, 838, 379)",0.6636614799499512
CAM_01,2026-06-03 14:55:44,"(546, 262, 843, 390)",0.8368331789970398
CAM_01,2026-06-03 14:55:44,"(545, 261, 860, 396)",0.8936988711357117
CAM_01,2026-06-03 14:55:44,"(537, 265, 861, 404)",0.839202344417572
CAM_01,2026-06-03 14:55:45,"(563, 116, 775, 494)",0.8418482542037964
CAM_01,2026-06-03 14:55:48,"(912, 213, 951, 254)",0.8172550797462463
CAM_01,2026-06-03 14:55:49,"(909, 218, 949, 257)",0.6704650521278381
CAM_01,2026-06-03 14:55:49,"(910, 221, 946, 254)",0.7818959355354309
CAM_01,2026-06-03 14:55:49,"(914, 225, 948, 256)",0.7839381098747253
CAM_01,2026-06-03 14:55:49,"(917, 231, 949, 260)",0.7982550263404846
CAM_01,2026-06-03 14:56:05,"(778, 265, 820, 296)",0.5250741839408875
CAM_01,2026-06-03 14:56:05,"(784, 263, 837, 300)",0.7441465258598328
CAM_01,2026-06-03 14:56:05,"(787, 259, 841, 300)",0.6881017684936523
CAM_01,2026-06-03 14:56:06,"(787, 259, 837, 304)",0.6630519032478333
CAM_01,2026-06-03 14:56:06,"(782, 271, 833, 303)",0.5505144596099854
